Merchant,Status,Sales,Sales Amount (€),Commissions (€),EPC (€),Clicks,Approved At,Category,Commission,Cookie,Key Notes/Restrictions
21collagen.ro,Approved,0,0.0,0.0,0,0,03.11.2025,Beauty / Supplements,,,"Codes for partners; shipping 15 Lei, free over 199 Lei; bundles common; dermatologist-led brand."
albirea-dintilor.com,Approved,0,0.0,0.0,0,0,03.11.2025,Beauty / Dental,,,Provides banners/resources; dashboard with real-time reports. No specific % in snippet.
anticexlibris.ro,Approved,0,0.0,0.0,0,2,02.11.2025,Books / Stationery / Toys,7%,30 days,Discount books; free Ship&Go Cargus promo (historic); free shipping >200 lei.
asus.com (ASUS eShop România),Approved,0,0.0,0.0,0,1,15.04.2025,Electronics / IT,3% fixed,30 days,No price aggregators; PPC allowed without brand bidding; high AOV; free delivery; 14‑day returns.
automobilus.ro,Approved,0,0.0,0.0,0,0,22.05.2025,Auto Parts / Accessories,,,Avg basket €55 excl. VAT; return rate <1%; accepts any form of promotion; extra feeds on request.
bazarulonline.ro (Marketplace en‑gros),Approved,0,0.0,0.0,0,0,22.05.2025,Marketplace / Wholesale,5% orders; 200 RON per new supplier signup,30 days,Daily new products; EU shipping; provides product feed; supports cashback/sites.
cupio.ro,Approved,0,0.0,0.0,0,0,22.05.2025,Beauty / Cosmetics,,,Google Search allowed except a long list of negative brand keywords.
decryso.ro,Approved,0,0.0,0.0,0,0,03.11.2025,Dermato‑cosmetics & Supplements,10% dermato‑cosmetics; 10% supplements,,Fast delivery 24‑48h incl. easybox; online or COD payments.
edituracorint.ro,Approved,0,0.0,0.0,0,0,03.11.2025,Publishing / Books,,,Offers marketing materials and support; no % stated in snippet.
esteto.ro,Approved,0,0.0,0.0,0,0,02.11.2025,Beauty / Multi‑category,5%,1 month,Avg order 200 lei; 94% commission approval rate.
evomag.ro,Approved,0,0.0,0.0,0,0,22.05.2025,Electronics / IT,See grila PDF (varies),,Approves in ≤15 days; pays weekly; many product feeds; accepts PPC (brand bidding rules per doc).
field.ro,Approved,0,0.0,0.0,0,0,03.11.2025,Footwear / Sportswear,7%,30 days,Fast shipping incl. Easybox; free returns/exchanges; teen/young adult audience focus.
flanco.ro,Approved,0,0.0,0.0,0,0,22.05.2025,Electro‑IT Retail,1–10% (by category),45 days,Many PPC & brand restrictions; social media rules; no brand bidding; extensive delivery services.
gave.ro,Approved,0,0.0,0.0,0,0,03.11.2025,Electronics / Cameras & Gadgets,16% fixed,30 days,COD only; 24–48h delivery; male‑leaning audience; bonuses for top affiliates.
gorillasports.ro,Approved,0,0.0,0.0,0,0,03.11.2025,Fitness Equipment,10% standard (15% promo until 17.07 per snippet),30 days,Brand founded 2005; frequent promos; banners/feeds provided.
herbagetica.ro,Approved,0,0.0,0.0,0,0,03.11.2025,Supplements / Health,10%,30 days,Romanian producer; pays at 30 days; frequent promos; support provided. % not stated.
intimax.ro,Approved,0,0.0,0.0,0,18,22.05.2025,Adult Products,,,Discreet packaging; COD & Easybox options; female 56% audience. % not stated.
jocurinoi.ro,Approved,0,0.0,0.0,0,0,03.11.2025,Gaming / Video Games,,,Claims lowest prices; no % in snippet.
kettler.ro,Approved,0,0.0,0.0,0,0,03.11.2025,Fitness Equipment,6%,,Google PPC accepted; premium AOV (~2000 RON).
kitunghii.ro,Approved,0,0.0,0.0,0,0,29.05.2025,Beauty / Nails,15% (7.5% corporate orders),30 days,No Google Ads; social ads OK; no coupon/brand terms; restrictions on public‑figure images.
librariadelfin.ro,Approved,0,0.0,0.0,0,1,02.11.2025,Books / Publishing,9%,10 days,PPC prohibited (FB/AdWords/any PPC). No brand bidding 'Libraria Delfin'. Feeds real‑time; low return rate.
librex.ro,Approved,0,0.0,0.0,0,0,22.05.2025,Books / Publishing,10%,30 days,Fast delivery ≤48h; frequent stock clearances; loyalty programme; free‑shipping campaigns.
libris.ro,Approved,0,0.0,0.0,0,3,09.12.2024,Books / Publishing,8%,10 days,No PPC; weekly commission payouts; daily-updated feeds; banners provided.
luxurybeauty.ro,Approved,0,0.0,0.0,0,0,22.05.2025,Beauty / Haircare (Premium),,30 days,Luxury haircare; seasonal promos; low return rate (<3%); free shipping over threshold.
manukashop.ro,Approved,0,0.0,0.0,0,1,22.05.2025,Food / Health (Manuka Honey),,30 days,Direct importer Manuka Health; CVR ~5.8%; AOV ~240 RON; launch promos & free shipping (historical).
mendo.ro,Approved,0,0.0,0.0,0,0,03.11.2025,Supplements / Wellness,10%,,"Supplements, Ganoderma coffee, therapeutic patches. AOV ~196 RON; target 35–55, 75% women."
minuneanaturii.ro,Approved,0,0.0,0.0,0,0,02.11.2025,Natural / Bio Store,10%,,"~33k SKUs incl. supplements, BIO, gluten‑free; transparent stock; avg delivery ~2.5 days; many promos."
myeshop.ro,Approved,0,0.0,0.0,0,0,03.11.2025,Outdoors / Fishing / Camping / Hardware,7%,,"AOV ~200 RON; payouts ~10–15 business days; >5000 products. | JSON cookie '10–15' likely payout days, not cookie; cookie length unknown."
nailshop.ro,Approved,0,0.0,0.0,0,0,03.11.2025,Beauty / Nails,7%,,Google Ads allowed but strict brand/keyword exclusions; CVR ~7%; AOV ~300 RON.
obio.ro,Approved,0,0.0,0.0,0,0,02.11.2025,BIO / Organic Store,,,">95% BIO portfolio; broad family categories (food, cosmetics, detergents, books, wellness devices)."
organicsfood.ro,Approved,0,0.0,0.0,0,0,03.11.2025,BIO / Naturist Store,9%,60 days,AOV ~147 RON; real‑time stock; free shipping >199 RON or Easybox; loyalty programme; fast approvals.
otter.ro,Approved,0,0.0,0.0,0,0,22.05.2025,Footwear / Fashion,10% full price; 5% discounted,,Large branded selection; frequent promos; feed updated daily; mobile‑first audience ~78%. | JSON listed 10–12%; merchant terms show 10% full-price / 5% discounted — keep merchant terms.
pansiprod.ro,Approved,0,0.0,0.0,0,0,03.11.2025,Medical / Health,10%,,Nationwide logistics; free shipping ≥119 RON; medical‑grade products with certifications; strong B2B ties.
picadili.ro,Approved,0,0.0,0.0,0,0,22.05.2025,Accessories / Fashion,10%,,24h delivery; free returns 30 days; free shipping >190 RON; loyalty points ~10%.
piese-biciclete.eu,Approved,0,0.0,0.0,0,0,03.11.2025,Cycling Parts,,,High operational automation (~80%); proactive order comms (ETA/AWB).
powerlaptop.ro (closing 30 Aug 2025),Approved,0,0.0,0.0,0,0,20.09.2024,Laptop Parts / Accessories,,,Program closes 30 Aug 2025 — stop using tools after this date.
scule365.ro,Approved,0,0.0,0.0,0,0,02.11.2025,Tools / DIY / Garden,7%,60 days,Fast commission approval (2–3 days post‑delivery); allows all promotion methods; INGCO ecosystem (360+ tools).
springfarma.com,Approved,0,0.0,0.0,0,0,15.10.2024,Pharma / Health & Beauty,15% own brands; 5.5% selected devices; 3.5% rest,,24–48h delivery; COD or online card; value focus 'Pret Mic'.
topstar.ro,Approved,0,0.0,0.0,0,0,06.08.2024,Beauty / Cosmetics (Multibrand),10%,90 days,Daily feed updates; free shipping >299 RON; female‑dominant audience.
vitamix.ro,Approved,0,0.0,0.0,0,0,03.11.2025,Naturist / Supplements,8% base; up to 30% (see tiers),60 days,Tiered: 30% ProHerb; 25% slimming SKUs; 20% Adams; 12% springmarkt; 8% other. Free shipping >150 RON.
